== 0 ==
"001"	{Blue}If might is supposed to make right,	then what makes left, maaan?{Color Reset}
"142"	{Blue}Se ti metti gli occhiali e	una benda su un occhio, 	poi ti chiamano "treocchi"?{Color Reset}
"143"	{Blue}Ma che fisico ci vorrà per	studiare fisica, squalett{o/a}?{Color Reset}
"144"	{Blue}Una cozza che sbatte contro	il muro, ci cozza contro?{Color Reset}
"145"	{Blue}Se sapessi tutto quello che ho	visto, squalett{o/a}... Il mare è immenso	quanto la mia saggezza!{Color Reset}
"146"	{Blue}Squalett{o/a}, ieri ho visto un foglio	nello stagno!	È quella la carta stagnola?{Color Reset}
"147"	{Blue}Squalett{o/a}, l'esportazione	è importante! O dovrei dire	che è "esportante"?{Color Reset}
"148"	{Blue}La gente che si rifiuta di	scusarsi fa del male solo a	se stessa, squalett{o/a}.{Color Reset}
"149"	{Blue}Ho sentito dire che c'è un paese	che vuole mettere una tassa	sui piedi puzzolenti, squalett{o/a}!{Color Reset}
"150"	{Blue}Perché gli aerei non hanno	le piume, squalett{o/a}?	Insomma, avrebbe senso, no?{Color Reset}
"151"	{Blue}Quando si chiude una porta,	si apre sempre un portone,	squalett{o/a}.{Color Reset}
"152"	{Blue}Hai mai fatto a braccio di	ferro con una piovra, squalett{o/a}?	Io se fossi in te non lo farei!{Color Reset}
"153"	{Blue}Nuotare è come volare,	squalett{o/a}: solo che ci si bagna!{Color Reset}
"154"	{Blue}Squalett{o/a}, sai cosa fanno	quattro triglie in discoteca?	Ballano le quadriglie!{Color Reset}
"155"	{Blue}Avere delle lenzuola e	un cuscino non significa	avere un letto, squalett{o/a}.{Color Reset}
"156"	{Blue}Sai dove vanno in vacanza le alghe?	Ad Alghero!{Color Reset}
"157"	{Blue}Squalett{o/a}, chissà se il pesce cane	andrà d'accordo con il pesce gatto?{Color Reset}
"158"	{Blue}Dici che se fossi arrivato in città	in treno, a quest'ora sarei io	il sindaco, squalett{o/a}?{Color Reset}
"159"	{Blue}Sei mai stat{o/a} punt{o/a} da un anemone	di mare, squalett{o/a}? Io lo chiamerei	"calabrone di mare", piuttosto!{Color Reset}
"160"	{Blue}Perché i cavalli trottano, ma	le trote non cavallano, squalett{o/a}?{Color Reset}
"161"	{Blue}Le trappole non servono a molto	se non ti ricordi dove le hai messe,	squalett{o/a}.{Color Reset}
"162"	{Blue}Hai mai sognato persone che	non conosci ancora, squalett{o/a}?	Sei tu che sogni... il futuro!{Color Reset}
"163"	{Blue}Il tuo cervello è come un	grande rubinetto, squalett{o/a}.	Non chiuderlo mai.{Color Reset}
"164"	{Blue}Come si chiama una lontra che	abita a Londra? "Lontrinese"?{Color Reset}
"165"	{Blue}Ho sentito dire che il caffè	di Bartolo in realtà è fango	di palude, squalett{o/a}!{Color Reset}
"166"	{Blue}Chissà se i calamari diventano	caladolci quando mangiano	le caramelle, squalett{o/a}?!{Color Reset}
"167"	{Blue}È difficile scrivere lettere	sott'acqua, squalett{o/a}. Devi	usare una penna speciale.{Color Reset}
"168"	{Blue}Ho provato a cuocere	una patata su una crepa di lava	oceanica una volta, squalett{o/a}.	Non ha funzionato poi	così bene... Si è disintegrata!{Color Reset}
"169"	{Blue}Ho le dita dei piedi pelose,	squalett{o/a}!	Non l'avevo mai notato.{Color Reset}
"170"	{Blue}Se le dita delle mani crescessero	sui piedi, poi dovremmo iniziare	a camminare sulle mani, squalett{o/a}?{Color Reset}
"171"	{Blue}Ho sentito dire che la gente	tiene i pesciolini rossi negli	acquari, squalett{o/a}.	E che poi gli danno del cibo	gratis! Beati i pesciolini rossi...{Color Reset}
"172"	{Blue}Certa gente vuole aiutarti solo per	stare meglio con se stessa. Sarà...	ma un aiuto fa sempre comodo!{Color Reset}
"173"	{Blue}Non farti mai raccontare una storia	da uno storione. Non la finisce più,	squalett{o/a}.{Color Reset}
"174"	{Blue}La verità fa male, squalett{o/a}.{Wait for input}Specialmente se ti cade	in testa! Ahia!{Color Reset}
"175"	{Blue}Gli oceani non saranno mai	pieni, squalett{o/a}. C'è sempre	spazio per dell'altra pioggia.{Color Reset}
"176"	{Blue}Ai pesci luna nemmeno	piace la luna, squalett{o/a}.{Color Reset}
"177"	{Blue}Devi scavare una buca prima	di poterla riempire, squalett{o/a}.{Color Reset}
"178"	{Blue}Gli ideali sono come fiori piantati	nel deserto. Vanno alimentati	o appassiscono subito, squalett{o/a}!{Color Reset}
"179"	{Blue}Si potrà fare sci di fondo	in fondo al mare, squalett{o/a}?!{Color Reset}
"180"	{Blue}Se gli opposti si attraggono,	perché la gente non mangia panini	con senape e marmellata, squalett{o/a}?{Color Reset}
"181"	{Blue}Carnevale si chiama così perché	si mangia la carne, squalett{o/a}?	Io preferisco il pesce!!!{Color Reset}
"182"	{Blue}I calzini di spugna bianchi sono	un pugno in un occhio, squalett{o/a}!	Stenderebbero perfino un pugile!{Color Reset}
"183"	{Blue}Ho sentito dire che in alcuni	posti si fanno dei barbecue	sulla spiaggia, squalett{o/a}!	Forse dovrei trasferirmi lì...{Color Reset}
"184"	{Blue}Sai che c'è gente che butta	la spazzatura nell'oceano,	squalett{o/a}?	È una cosa che spezza	il mio povero cuoricino	di lontra...{Color Reset}
"185"	{Blue}È facile tenere pulita casa tua,	se vivi sott'acqua, squalett{o/a}.{Color Reset}
"186"	{Blue}Adoro vivere nell'oceano, squalett{o/a}.	Ma vorrei tanto che avessimo	una squadra di calcio.{Color Reset}
"187"	{Blue}Hai mai provato a fare le frittelle	sott'acqua, squalett{o/a}?	Non è mica facile, sai?{Color Reset}
"188"	{Blue}A volte mi piace leggere i libri	al contrario, squalett{o/a}.{Wait for input}Così so già come finiscono!{Color Reset}
"189"	{Blue}Sei mai stat{o/a} nel povero	relitto derelitto di una nave,	squalett{o/a}? Che diletto il relitto!{Color Reset}
"190"	{Blue}Chissà perché il gabbiano si chiama	così?! Altro che gabbia, nessuno	è più libero di lui: vola dove vuole!{Color Reset}
"191"	{Blue}Ho un cugino che vive in uno	zoo, squalett{o/a}. Dice che gli	danno da mangiare gratis!{Color Reset}
"192"	{Blue}Chissà perché gli struzzi non volano,	squalett{o/a}?! Forse se fossero un po'	più magri e piccoli...{Color Reset}
"193"	{Blue}La pallanuoto è lo sport più bello	del mondo, squalett{o/a}.{Color Reset}
"194"	{Blue}Per sapere di essere felici,	prima bisogna essersi sentiti	tristi, squalett{o/a}.{Color Reset}
"195"	{Blue}Ho sentito dire che hanno scoperto	come usare lo sciacquone senza	premere il pulsante.	Se solo ci rivelassero come si fa...{Color Reset}
"196"	{Blue}Il miglior momento per vedere	un gufo è quando fa buio, squalett{o/a}.{Wait for input}Ma a quel punto non riesci più	a vederlo, perché è troppo buio!{Color Reset}
"197"	{Blue}Non chiederti cosa l'oceano può	fare per te, squalett{o/a}. Chiediti cosa	puoi fare TU per l'oceano.{Color Reset}
"198"	{Blue}Le piscine sono piuttosto	sopravvalutate, squalett{o/a}...	Vuoi mettere l'immensità del mare?{Color Reset}
"199"	{Blue}Ho trovato uno scrigno del	tesoro una volta. Sai cosa	c'era dentro?	Un tesoro, squalett{o/a}!	Cos'altro sennò?{Color Reset}
"200"	{Blue}Nuota controcorrente, squalett{o/a}.	Solo chi nuota controcorrente,	pesca i salmoni migliori!{Color Reset}
"201"	{Blue}Prima mi piaceva la musica	rap, squalett{o/a}, ma è dura	fare freestyle sott'acqua.{Color Reset}
"202"	{Blue}Hai mai provato a parlare con	una muta da sub? Di solito non dice	niente: fa sempre "scena muta"!{Color Reset}
"203"	{Blue}Bastoncini di pesce?! Cosa sono?	Io conosco solo i bastoncini	di cotone per le orecchie!{Color Reset}
"204"	{Blue}L'ordine all'interno delle	coincidenze non è altro che	la matematica, squalett{o/a}.{Color Reset}
"205"	{Blue}Squalett{o/a}, il pomodoro non è	un "pomo d'oro". Non dovrebbe	chiamarsi "pomorosso"!{Color Reset}
"206"	{Blue}Se sei un giornalista e riporti una	notizia che sappiamo tutti già...	beh, ma che notizia, eh?{Color Reset}
"207"	{Blue}Se viaggi alla velocità della	luce, diventi il sole, squalett{o/a}?!{Color Reset}
"208"	{Blue}Ma se Bartolo ha un bar, Tortimer	fa le torte, squalett{o/a}?{Color Reset}
"209"	{Blue}I vestiti che uno prende in	prestito si sporcano sempre	facilmente, squalett{o/a}.{Color Reset}
"210"	{Blue}Ma se Filomena adora la filosofia,	ad Agostina piacerà la agosofia?{Color Reset}
"211"	{Blue}Ho sentito dire che il cielo	non è veramente blu.	È solo una nostra impressione.	Che roba, eh squalett{o/a}?{Color Reset}
"212"	{Blue}Non importa se non sai nuotare,	squalett{o/a}: l'importante è	restare a galla!{Color Reset}
"213"	{Blue}Se mangi la pastasciutta	sul bagnasciuga, alla fine	è ancora pastasciutta?{Color Reset}
"214"	{Blue}Sai qual è il colmo per	un marinaio, squalett{o/a}?	Salpare con il morale a terra!{Color Reset}
"215"	{Blue}Ma se a un uomo viene il mal	di mare, al mare viene il mal	di uomo, squalett{o/a}?{Color Reset}
"216"	{Blue}Perché gli squali non tengono quella	grossa pinna sott'acqua, squalett{o/a}?{Color Reset}
"217"	{Blue}Nessuno getta un'ombra	quando è buio, squalett{o/a}!	Non è pazzesco?!{Color Reset}
"218"	{Blue}Ma le sardine sono piccole	donne sarde, squalett{o/a}?{Color Reset}
"219"	{Blue}Magari i dinosauri non si sono mai	estinti, squalett{o/a}. Sono sempre stati	dei grossi lucertoloni scheletrici!{Color Reset}
"220"	{Blue}Squalett{o/a}, ho deciso di organizzare	una festa dedicata agli stivali!	La chiamerò "festival"!{Color Reset}
"221"	{Blue}Non costruire una casetta	per gli uccelli, squalett{o/a}.	Pensa in grande: fagli una villa!{Color Reset}
"222"	{Blue}Sai cosa mi manca di più	della terraferma? Il ragù,	squalett{o/a}. Adoro il ragù!{Color Reset}
"223"	{Blue}Se solo avessi un milione di stelline,	squalett{o/a}... A quest'ora avrei	una villa su un'isola tropicale!{Color Reset}
"224"	{Blue}Ho sentito parlare della bassa	e dell'alta marea. Ma la media	marea? Ci sarà una media marea?{Color Reset}
"225"	{Blue}Sai qual è il colmo per un asino,	squalett{o/a}?	Avere una febbre da cavallo!{Color Reset}
"226"	{Blue}Se segui un percorso circolare,	non finirai mai di seguirlo, squalett{o/a}!{Color Reset}
"227"	{Blue}Noi lontre ci teniamo per mano	quando dormiamo, squalett{o/a}.{Wait for input}È un'altra delle cose	che ci rende speciali!{Color Reset}
"228"	{Blue}Dovrebbero iniziare a fare delle	caramelle al gusto di vongola,	squalett{o/a}. Ne comprerei a chili!{Color Reset}
"229"	{Blue}La verità non è mai gratis,	squalett{o/a}. Ma a volte è	molto scontata.{Color Reset}
"230"	{Blue}Ti sei mai sedut{o/a} a leggere	un dizionario, squalett{o/a}?	È una lettura estremamente varia!{Color Reset}
"231"	{Blue}Che ci fanno due api sedute	a un bar? Si prendono l'aperitivo,	squalett{o/a}! Ovvio, no?{Color Reset}
"232"	{Blue}Sai quali sono i cani più diffusi	in montagna? I canederli!{Color Reset}
"233"	{Blue}Il raffreddore è solo il modo che ha	la natura per dirti di riposarti	un po', squalett{o/a}.{Color Reset}
"234"	{Blue}La vita è come un'ostrica gigante...	No, aspetta, mi sto confondendo	con quello che vorrei per cena...{Color Reset}
"235"	{Blue}Ho comprato un aquilone, squalett{o/a},	ma poi mi sono ricordato che	vivo sott'acqua.{Color Reset}
"236"	{Blue}Oh, accidenti! Mi sono scordato	di fare la doccia oggi! Oh, aspetta.	Tanto vivo sott'acqua, squalett{Blue}{o/a}{Blue}{Color Reset}{Blue}.{Color Reset}
"237"	{Blue}Troppi cuochi rovinano la	minestra, squalett{o/a}, a meno	che non si tratti di un buffet.{Color Reset}
"238"	{Blue}Qualcosa è un miracolo	soltanto se tu vuoi che lo	sia, squalett{o/a}.{Color Reset}
"239"	{Blue}Chi ha inventato i numeri,	squalett{o/a}? Scommetto che è	stato uno che "dava i numeri"!{Color Reset}
"240"	{Blue}Sai qual è il colmo per un drago,	squalett{o/a}?	Avere la gola infiammata.{Color Reset}
"241"	{Blue}L'anno scorso ho imparato	a cucire, squalett{o/a}.	Scusa ho perso il filo... dicevo?{Color Reset}
"242"	{Blue}Il ghiaccio è soltanto acqua	molto, molto fredda, squalett{o/a}.	Pensaci su!{Color Reset}
"243"	{Blue}I pesci spada sono dei grandi	campioni di scherma, squalett{o/a}!	Dovrebbero partecipare ai tornei!{Color Reset}
"244"	{Blue}Chiunque ha la possibilità di farsi	crescere i baffi, dovrebbe farlo	subito! A me donano un sacco!{Color Reset}
"245"	{Blue}Alcuni pesci non si muovono	in banchi, squalett{o/a}.	Anche l'oceano ha i suoi lupi solitari!{Color Reset}
"246"	{Blue}Non serve stare da soli	per sentirsi soli.	Ricordatelo, squalett{o/a}!{Color Reset}
"247"	{Blue}Non tenerti tutto dentro, squalett{o/a}!	A volte fa bene sfogarsi!{Color Reset}
"248"	{Blue}Sii orgoglios{o/a} di quello	che fai! Altrimenti che	lo fai a fare, squalett{o/a}?{Color Reset}
"249"	{Blue}Devi essere forte come le cozze	aggrappate agli scogli nei giorni	in cui il è mare in burrasca!	Mmmh, cozze...	Che buone, {Blue}squalett{o/a}{Blue}!{Color Reset}
"250"	{Blue}Non permettere a nessuno	di dirti cosa sei o non sei	in grado di fare, squalett{o/a}.{Color Reset}
"251"	{Blue}Parlare non significa sempre	dire qualcosa, squalett{o/a}!{Color Reset}
"252"	{Blue}A volte non c'è niente di male	a essere un semplice ingranaggio	di un grande macchinario, squalett{o/a}!	Anche gli ingranaggi hanno	la loro importanza!{Color Reset}
"253"	{Blue}Le tendenze sono mode passeggere.	Squalett{o/a}, tu invece sarai sempre	trendy!{Color Reset}
"254"	{Blue}Squalett{o/a}, magari non sarai	altissim{o/a}, ma ricorda: nella botte	piccola, c'è il vino buono!{Color Reset}
"255"	{Blue}Amore significa condividere	i frutti di mare del tuo piatto	di spaghetti allo scoglio...	... senza dire mai: "Mi dispiace	che te li sia pappati tu!".{Color Reset}
"256"	{Blue}Chissà perché le scuole elementari	si chiamano così, squalett{o/a}?!{Wait for input}Io, con tutto quello che mangiavo	durante l'intervallo, le avrei	chiamate "scuole alimentari"!{Color Reset}
"257"	{Blue}Il peggiore ristorante del mondo	vanta comunque un primato!{Wait for input}È molto peggio essere il secondo	peggiore ristorante del mondo,	squalett{o/a}!{Color Reset}
"258"	{Blue}Far piangere una persona è facile!	Ciò che è difficile è farla ridere	dopo averla fatta piangere!{Color Reset}
"259"	{Blue}A volte i bambini sapientoni,	diventano adulti ignorantoni,	squalett{o/a}!{Color Reset}
"260"	{Blue}Se vuoi cambiare il mondo,	dovresti cominciare partendo	da te stess{o/a}, squalett{o/a}!{Color Reset}
"261"	{Blue}Chi lancia una moda, spesso	non sa di farlo, squalett{o/a}!{Color Reset}
== 4 ==
"001"	{Blue}Das Gras in Nachbars Garten ist	immer grüner...{pause 20} Aber was ist, wenn	Braun deine Lieblingsfarbe ist?{Color Reset}
"002"	{Blue}.{pause 8}.{pause 8}.{pause 20} Immer diese Hektik,{pause 8} Maaann!{pause 20}	Zieh dir die Stille doch erst mal	richtig rein.{pause 20} Das kommt krass!{Color Reset}
"003"	{Blue}Wenn man sagt „Nicht böse	gemeint...“,{pause 8} dann hat man gerade	etwas Böses gesagt, {pause 8}Maaann.{Color Reset}
"004"	{Blue}Ich halte nicht viel davon, von	irgendwelchen Dingen nicht viel	zu halten,{pause 8} Maaann!{Color Reset}
"005"	{Blue}.{pause 8}.{pause 8}.{Color Reset}{Wait for input}{Blue} {Echte Männer müssen auch mal/Einfach mal die Klappe}	{Blue}{zusammen die Klappe halten können./halten – genial!}{Blue}{Color Reset}
"006"	{Blue}Was passiert eigentlich, wenn ein	Baby in einen Jungbrunnen fällt?{pause 20}	Wird es dann ein alter Maaann?{Color Reset}
"007"	{Blue}Was wohl das Treibholz am Strand	so treibt,{pause 8} Maaann?{Color Reset}
"008"	{Blue}Besorge heute alles, was nicht bis	morgen warten kann,{pause 8} Maaann.{Color Reset}
"009"	{Blue}Wenn in einer Stadt nur Verrückte	leben, was kann man dann über	ihren Bürgermeister sagen,{pause 8} Maaann?{Color Reset}
"010"	{Blue}Manchmal bekommt man den Blues,	warum bekommt man nie den Jazz,{pause 8}	Maaann?{Color Reset}
"011"	{Blue}Der Feind eines Feindes ist ein	Freund, {pause 8}Maaann. {pause 20}Ist der Freund	eines Freundes dann ein Feind?{Color Reset}
"012"	{Blue}Wird Mais auf einer Pizza zu	Popcorn,{pause 8} Maaann?{Color Reset}
"013"	{Blue}Kirschen und Bananen kann man	nicht vergleichen. {pause 20}Die sind wie	Äpfel und Birnen, {pause 8}Maaann.{Color Reset}
"014"	{Blue}Wenn ein Pfau ein Rad schlägt, sieht	das ganz anders aus, als wenn ein	Mensch ein Rad schlägt, {pause 8}Maaann.{Color Reset}
"015"	{Blue}Bücher sind die besten Geschenke,	weil sie so viel{pause 8}seitig sind, {pause 8}Maaann.{Color Reset}
"016"	{Blue}Wieso gibt's im Streichelzoo	eigentlich keine Igel,{pause 8} Maaann?{Color Reset}
"017"	{Blue}Wenn alle immer nur reden ist doch	keiner da, der sich das Gequatsche	auch anhört,{pause 8} Maaann!{Color Reset}
"018"	{Blue}Von frischer Farbe und großen	roten Knöpfen lässt man besser	die Finger,{pause 8} Maaann.{Color Reset}
"019"	{Blue}Die Vergangenheit ist wie die	Gegenwart,{pause 8} Maaann.{pause 20} Nur schon	etwas länger her.{Color Reset}
"020"	{Blue}Gibt's Windhosen eigentlich auch	maßgeschneidert,{pause 8} Maaaann?{Color Reset}
"021"	{Blue}Wer immer gleichmäßig verliert	wird wenigstens nicht schlechter,{pause 8}	Maaann.{Color Reset}
"022"	{Blue}Ein wahrer Held fängt dich nicht,	wenn du fällst, sondern er warnt	dich, bevor du stolperst,{pause 8} Maaann.{Color Reset}
"023"	{Blue}Denn erstens kommt es anders {pause 8}und	zweitens als man denkt {pause 8}und drittens	ist es sowieso egal, {pause 8}Maaann.{Color Reset}
"024"	{Blue}Was, wenn man kalte Füße	bekommt?{pause 20} Dickere Socken,{pause 8}	Maaann!{Color Reset}
"025"	{Blue}Glaube kann Berge versetzen,{pause 8}	Maaann.{pause 20} Aber nur, wenn man	dran glaubt.{Color Reset}
"026"	{Blue}Sorgenfalten sind schlimmer als	Lachfalten,{pause 8} Maaann.{Color Reset}
"027"	{Blue}Wenn man ein Kind fürs Putzen	interessieren will, sollte man es	ihm einfach verbieten,{pause 8} Maaann.{Color Reset}
"028"	{Blue}Am Ende der Sommerferien sagt	niemand, „Hätte ich nur mehr Zeit	mit Aufräumen verbracht!“, Maaann!{Color Reset}
"029"	{Blue}Lieber ins kalte Wasser springen,	als für immer nur am Strand zu	stehen,{pause 8} Maaann!{Color Reset}
"030"	{Blue}Wenn Koalas zwei Daumen an jeder	Hand haben, brauchen sie dann auch	zwei Klingeln am Fahrrad,{pause 8} Maaann?{Color Reset}
"031"	{Blue}Reden ist Silber, {pause 8}Schweigen ist	Gold.{pause 20} Besonders, wenn man nichts	zu sagen hat, {pause 8}Maaann!{Color Reset}
"032"	{Blue}Was finden die Leute nur immer an	Diamanten?{pause 20} Das sind doch nur	gepresste Steine,{pause 8} Maaann!{Color Reset}
"033"	{Blue}Wenn man sich entwickeln kann,	heißt das, dass man vorher	eingewickelt war,{pause 8} Maaann?{Color Reset}
"034"	{Blue}Gehören Walnüsse eigentlich zu den	Meerestieren,{pause 8} Maaann?{Color Reset}
"035"	{Blue}Besser gut gegessen als Hut	vergessen,{pause 8} Maaann!{Color Reset}
"036"	{Blue}Wieso sind Sehenswürdigkeiten	meistens alte Gebäude?{pause 20} Wolken	sind doch auch schön,{pause 8} Maaann.{Color Reset}
"037"	{Blue}Wenn man keine Intoleranz toleriert,	ist man dann intolerant,{pause 8} Maaann?{Color Reset}
"038"	{Blue}Wer ständig verplant ist, der	plant nicht richtig, {pause 8}Maaann.{Color Reset}
"039"	{Blue}Wenn man aus Fehlern lernt,{pause 8} sollte	man dann nicht so viele wie möglich	machen,{pause 8} Maaann?{Color Reset}
"040"	{Blue}Wenn deine Träume Wirklichkeit	werden,{pause 8} waren sie nicht kühn genug,{pause 8}	Maaann!{Color Reset}
"041"	{Blue}Im Meer gibt es keine Straßen.{pause 20} Das	heißt, dass man nie am Scheideweg	steht, {pause 8}Maaann!{Color Reset}
"042"	{Blue}Man wird immer da fündig, wo man	als Letztes sucht.{pause 20} Wieso sollte man	danach auch weitersuchen,{pause 8} Maaann?{Color Reset}
"043"	{Blue}Alles, was du siehst, sind Photonen,	die dir in die Augen fliegen, {pause 8}Maaann.{pause 20}	Wie sieht die Welt wirklich aus?{Color Reset}
"044"	{Blue}Wenn es keine Schwerkraft gäbe,	müssten wir alles festbinden,{pause 8}	Maaann!{Color Reset}
"045"	{Blue}Fische haben es gut,{pause 8} Maaann.{pause 20}	Die müssen sich nie baden!{Color Reset}
"046"	{Blue}Man kann sich die Haare wachsen	lassen, aber kann man sich auch eine	Glatze wachsen lassen,{pause 8} Maaann?{Color Reset}
"047"	{Blue}Wer sagt{pause 8} „Das ist eine sehr gute	Frage!“,{pause 8} der hat die Antwort schon	parat,{pause 8} Maaann.{Color Reset}
"048"	{Blue}Es ist auch schlecht, ins warme	Wasser zu springen, wenn man	nicht schwimmen kann,{pause 8} Maaann.{Color Reset}
"049"	{Blue}Bedecken die Meere die Erde, oder	bedeckt die Erde Teile des Meeres,{pause 8}	Maaann?{Color Reset}
"050"	{Blue}Was ist, wenn man nachtaktiv ist	und sich im Dunkeln fürchtet,{pause 8}	Maaann?{Color Reset}
"051"	{Blue}Wer anderen eine Grube graben	will, muss eine Schaufel haben,{pause 8}	Maaann.{Color Reset}
"052"	{Blue}Katzenhaie haben weder Krallen	noch Schnurrhaare, Maaann.{pause 20}	Wo kommt nur der Name her?{Color Reset}
"053"	{Blue}Wenn einem tausend Mal ein Sterni	auf den Boden fällt, hat man	1.000 Sternis verloren,{pause 8} Maaann.{Color Reset}
"054"	{Blue}Was macht ein Faulenzer,{pause 8} wenn er	zu faul zum Faulenzen ist,{pause 8} Maaann?{Color Reset}
"055"	{Blue}Wenn einer sagt, „Schleich dich!“,	soll man sich dann besonders leise	verziehen,{pause 8} Maaann?{Color Reset}
"056"	{Blue}Wer sich ein Buch kauft, wird noch	lange nicht schlau. {pause 20}Er muss es auch	lesen, {pause 8}Maaann!{Color Reset}
"057"	{Blue}Bei Flaute kann der Segler	auch einfach paddeln,{pause 8} Maaann.{pause 20}	Oder gilt das als Schummeln?{Color Reset}
"058"	{Blue}Wenn man sein Essen ständig	anbrennen lässt, wird man dafür	gut im Anbrennenlassen,{pause 8} Maaann!{Color Reset}
"059"	{Blue}Es gibt keinen Mann im Mond,{pause 8}	Maaann.{pause 20} Da oben gibt's doch	nicht mal öffentliche Toiletten!{Color Reset}
"060"	{Blue}„Ewig währt am längsten!“	Das mag ja stimmen, aber was	soll es heißen,{pause 8} Maaann?{Color Reset}
"061"	{Blue}Lieber eine Muschel mit Perle	als gar keine Meeresfrüchte,{pause 8}	Maaann!{Color Reset}
"062"	{Blue}„Morgenstund hat Gold im Mund“?	Da wären Croissants doch viel	angemessener,{pause 8} Maaann!{Color Reset}
"063"	{Blue}Wenn wir zum größten Teil aus	Wasser bestehen, wieso gluckern	wir dann nicht beim Gehen,{pause 8} Maaann?{Color Reset}
"064"	{Blue}Die Wüste ist nichts anderes	als ein gaaanz langer Sandstrand,{pause 8}	Maaann!{Color Reset}
"065"	{Blue}Bei einem Rennen gewinnt	normalerweise der Schnellste,{pause 8}	Maaann.{Color Reset}
"066"	{Blue}Kaum wirft man nach Jahren was	Nutzloses weg, braucht man es am	nächsten Tag,{pause 8} Maaann.{Color Reset}
"067"	{Blue}Man kann sich verlaufen,{pause 8} verwählen,{pause 8}	vertippen,{pause 8} verzählen,{pause 8} verlesen,{pause 8}	verirren und...{pause 20} verlieben,{pause 8} Maaann!{Color Reset}
"068"	{Blue}Wer nicht hören will, muss	fernsehen,{pause 8} Maaann.{pause 20} Oder lesen.{Color Reset}
"069"	{Blue}Wenn einem Architekten etwas	einfällt, sollte er eine gute	Versicherung haben,{pause 8} Maaann!{Color Reset}
"070"	{Blue}Wenn Orangen orange sind, sind	Bananen dann banane,{pause 8} Maaann?{Color Reset}
"071"	{Blue}Man sollte Geranien nicht im Winter	umtopfen!{pause 20} Glaub's mir,{pause 8} Maaann,{pause 8}	das ist keine gute Idee.{Color Reset}
"072"	{Blue}Wenn du dich selbst besiegst,{pause 8}	dann hast du doch irgendwie	trotzdem verloren,{pause 8} Maaann!{Color Reset}
"073"	{Blue}Weißt du, was man beim Kochen	braucht, {Blue}{pause 8}Maaann{Blue}? {pause 20}Mut ist gut,	aber Messer ist besser.{Color Reset}
"074"	{Blue}In Meerwasser ist ja Salz...{pause 20} Ist eine	Meeresbrise dann salzig,{pause 8} Maaann?{Color Reset}
"075"	{Blue}Käse wird nie wieder zu Milch,{pause 8}	Maaann.{pause 20} Ganz egal,{pause 8} wie lang man	ihn im Ofen lässt.{Color Reset}
"076"	{Blue}Gleichgültigkeit ist das Schlimmste,	was es gibt.{pause 20} Aber das ist mir echt	schnuppe,{pause 8} Maaann.{Color Reset}
"077"	{Blue}Leider kann man Treppengeländer	nur herunterrutschen, nicht hinauf.{pause 20}	Das ist nicht fair,{pause 8} Maaann!{Color Reset}
"078"	{Blue}Schlechte Angewohnheiten sind	wie dreckige Unterwäsche, die	man nicht wechseln kann,{pause 8} Maaann!{Color Reset}
"079"	{Blue}Wer Kiemen hat muss nur selten	die Luft anhalten,{pause 8} Maaann.{Color Reset}
"080"	{Blue}Stell dir vor, alle Fische im Meer	trinken gleichzeitig einen Schluck	Wasser,{pause 8} Maaann...{Color Reset}
"081"	{Blue}Zum Glück hat man zwischen zwei	Urlauben meist Zeit, um sich etwas	zu erholen,{pause 8} Maaann.{Color Reset}
"082"	{Blue}Suppe wird gelöffelt, aber nur der	Weg gabelt sich.{pause 20} Wer denkt sich so	was aus,{pause 8} Maaann?{Color Reset}
"083"	{Blue}Wer immer weiter nach Osten geht,	ist plötzlich im Westen.{pause 20} Man kann's	auch übertreiben,{pause 8} Maaann.{Color Reset}
"084"	{Blue}Die Axt im Haus erspart den	Zimmermaaann.{pause 20} Leider muss man	sie auch noch benutzen können.{Color Reset}
"085"	{Blue}Guter Rat ist teuer, also fang	besser an, mich zu bezahlen,{pause 8}	Maaann!{Color Reset}
"086"	{Blue}Nachts sind alle Katzen grau.{pause 20} Außer	du hast ein Nachtsichtgerät, dann	sind sie alle grün,{pause 8} Maaann...{Color Reset}
"087"	{Blue}Wie schmeckt eine Avocado?{pause 20}	Wie das Gegenteil von einer	Banane,{pause 8} Maaann!{Color Reset}
"088"	{Blue}Es ist toll, wenn einem das Wasser	bis zum Hals steht.{pause 20} Zumindest,	wenn man ein Otter ist, Maaann!{Color Reset}
"089"	{Blue}Ein Armbruch ist doch kein	Beinbruch.{pause 20} Sondern ein	Armbruch,{pause 8} Maaann!{Color Reset}
"090"	{Blue}Die Konkurrenz schläft nicht,{pause 8}	Maaann.{pause 20} Oder hörst du sie	etwa schnarchen?{Color Reset}
"091"	{Blue}Wusstest du,{pause 8} dass Diamanten aus	gepresstem Kohlenstoff bestehen?{Wait for input}Darum haben Leute mit viel Kohle	auch immer viele Diamanten,{pause 8}	Maaann.{Color Reset}
"092"	{Blue}Wenn wir echt mit Kohle, Schotter	und Knete zahlen würden...{pause 20} Maaann,{pause 8}	wir bräuchten größere Geldbeutel!{Color Reset}
"093"	{Blue}Aliens,{pause 8} Maaann.{pause 20} Haben die auch alle	einen gültigen Reisepass?{Color Reset}
"094"	{Blue}Wer den Ball immer nur flach hält,{pause 8}	kommt nie über die Verteidigung,	{pause 8}Maaann.{Color Reset}
